WN Korsel  Digerebek  Pesta Sabu Pengusaha Karaoke
"Seorang  menabrak 3 orang dengan mobilnya. Supaya nggak ketahuan   tertangkap, ia mengubur mobilnya  halaman rumah untuk menghilangkan barang bukti."
Mayat Wanita Berkawat Gigi  Bogor Seorang Marketing WO
"Ngumpet  hotel ,  tampang koruptor  2 miliar  . Ia tampak kaget  tim kejaksaan mengepungnya  lobi hotel."
Menolak Bungkam Soal Pemerkosaan  Kazakstan  Konservatif
"SMP Dijadikan PSK, Pasutri  Aceh Diciduk"
"Usai Tikam Mati  Israel,  Palestina Tewas Ditembak"
Bekuk Komplotan Begal  Resahkan Cakung
"Dikejar ,  Begal Lompat  Flyover  Tanah Abang"
"Pencuri Kotak Amal  Begal Marak Beraksi   Penuh,  Belum Terima Laporan"
"Bunuh Gadis Pemandu Karoke Lalu Dicor  Kamar Mandi,  Motif Begal Sadis  Kendal"
Satu Anggota Komplotan Begal Tewas Ditembak   Pademangan
"Miliki Ilmu Kebal, Begal  Berani Tantang ,   Terjadi  Didor"
Ibu    Mencuri  Kolam Renang Ceria Tirta Tulungagung Akhirnya
"Ingin Cepat Laku, 3 Pencuri Motor  Jombang Jual Hasil Curian  Facebook, Begini Akibatnya"
"Remaja  Blitar  Punya Nama Unik, Mirip Pahlawan, Tapi Kelakuannya Tak Patut Ditiru"
"Durhaka, Disuruh Kembali Sekolah, Remaja  Tulungagung   Curi Motor Ibunya"
"Pura-pura Sakit,   Nekat Berbuat Kriminal  Masjid At-Taqwa Lamongan"
"Astaga! Bukannya Sholat, Wanita   Nyolong  Masjid"
"Demi Beli iPhone  Obati Pacar  Sakit, Perempuan    Curi Uang Milik Temannya"
Deretan Mobil  Diduga Hasil Korupsi Bupati Hulu  Tengah
Ongkos Kirim Kendaraan  Bupati Hulu  Tengah Capai  24 Juta
"Demi Gaya Hidup , Eks Teller BRI Menilap Bantuan Siswa Miskin"
Pengakuan Zumi Zola  Persidangan Suap RAPBD Jambi
KPK Bantu Kejati Sumut Buru Tersangka Korupsi  Buron
Seluruh Kantor Pajak Bakal  Wilayah Bebas Korupsi
"Koruptor Kembalikan Uang Negara, Pidana Gugur?"
KPAI:  Kekerasan  Didominasi Laki-Laki
"Aniaya Kekasih, Dylan Sada: Aku Bodoh Berharap Dia Berubah"
"Viral, Foto Kepsek Dianiaya Bikin Warganet Geram"
"Dokter Pukul Pasien  Menyerangnya  Bertugas, Mengapa?"
"Kejam, Guru  Tendang Kepala Murid Usai Menghukumnya"
Perawat   Laporkan Balik Pasien Tuduh Pelecehan Seksual
Pelecehan Seksual  Apartemen Kelapa Gading
"Lewat Gang Sempit, Gadis 19 Tahun  Jatinegara   Pelecehan Seksual"
Perempuan  Berbagai Negara Termasuk  Ungkap Dugaan Pelecehan  Beribadah Haji
"Kisah Bule  Skimming ATM,  Satu Kesalahan, Kejahatan Miliaran Rupiah Terbongkar Satpam"
"Pernah Janji Tak Lakukan Kejahatan IT, Hacker    Retas Situs, Cuma Butuh 5 Menit"
"Usut Hacker Jaringan  Black Hat, Polri Gandeng Interpol  FBI"
Daftar Puluhan Situs Web Malaysia  Kena Serangan Hacker
"Terungkap, Begini Karakteristik Hacker"
"Hacker  Ditakuti Dunia, FBI Saja Sampai Kalang Kabut,  Fakta-faktanya"
"Penipuan Arisan Online,  Bekasi Lapor ke"
"Penipuan Arisan Online,  Bekasi Lapor ke"
"Cantik  Kaya Raya, Bos Teknologi  Terseret Kasus Penipuan Besar"
Modus Staf Khusus Presiden Gadungan Jerat Korbannya
Ringkus Penipu  Catut Nama Kapolri Tito Karnavian
"Selain Angela Lee, 7 Artis  Dituding Lakukan Penipuan"
Pensiunan PNS  Majalengka   Penipuan ala Dimas Kanjeng
Modus Selebgram Angela Lee Tipu  Jogja hingga  12 Miliar
